id,old_status,new_status,old_residual,new_residual,values_residuals_status_tolerance_unchanged,explicit_auxiliary_correction,check
saved_jet/Tqq/delta,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Tqq/plus0,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Tqq/plus1,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Tqq/regular,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqg/delta,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqg/plus0,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqg/plus1,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqg/regular,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqq/delta,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqq/plus0,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqq/plus1,EXACT,EXACT,0,0,True,False,PASS
saved_jet/Uqq/regular,EXACT,EXACT,0,0,True,False,PASS
soft_plus_unsubtracted_TMD,EXACT,EXACT,0,0,True,False,PASS
soft_rapidity_native,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/jet_UT_bare_remainder,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/jet_UU_bare_remainder,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/jet_common_overlap,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/jet_comparison_bare,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/jet_comparison_overlap,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/recoil_soft_bare,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/recoil_soft_finite,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/soft_cs_out,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/soft_global,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/soft_injet,EXACT,EXACT,0,0,True,False,PASS
soft_reassembly/r03/soft_standard,EXACT,EXACT,0,0,True,False,PASS
soft_shift_with_poles,EXACT,EXACT,0,0,True,False,PASS
